Suseo,Dongchan,Jiji,Cheonan(Asan),Osong,Daejeon,Gimcheon(Gumi),Dongdaegu,ShinKyungju,Ulsan(Tongdosa),Busan,Gongju,Iksan,Jeong-eup,Gwangju(Songje),Naju,Mokpo
SRT,SRT,SRT,SRT,KTX,SRT,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,무궁화호,SRT,무궁화호,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,KTX,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,SRT,SRT,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,무궁화호,SRT,무궁화호,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,SRT,KTX,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,KTX,KTX,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,KTX,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,SRT,KTX,KTX,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,ITX-새마을,KTX-산천,ITX-새마을,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,SRT,KTX,SRT,KTX,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,SRT,KTX,SRT,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,KTX,KTX,KTX,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,SRT,SRT,KTX,무궁화호,SRT,무궁화호,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,SRT,KTX,KTX,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,KTX,SRT,SRT,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,무궁화호,SRT,무궁화호,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,SRT,SRT,무궁화호,SRT,무궁화호,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,SRT,blank,KTX,KTX,KTX,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX-산천,KTX,SRT,KTX,SRT,SRT,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,SRT,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,KTX,KTX,KTX,KTX-산천,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,SRT,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX-산천,SRT,KTX,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,KTX,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,KTX,SRT,KTX,SRT,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,KTX,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,SRT,KTX,SRT,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,KTX,KTX,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,SRT,SRT,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,ITX-새마을,blank,ITX-새마을,SRT,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,SRT,KTX,KTX,blank,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,SRT,SRT,blank,SRT,KTX,SRT,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,KTX,blank,KTX,KTX,KTX,blank,blank,blank,blank,blank,blank,blank
SRT,blank,blank,KTX,KTX,무궁화호,blank,무궁화호,SRT,SRT,blank,blank,blank,blank,blank,blank,blank
